NSpins,T,E_mean,Cv,Cv_err,F_approx,F_exact,m_running_mean,tau_int,Mean Energy Difference
32,5.0,-0.1966725,0.038562707512000007,0.00018581522386422046,-3.6624084027997266,-3.5650762619997636,-0.000375,1.1608938531928632,0.0
64,1.0,-0.76265,0.41812856,0.004823323152767814,-1.4557971805599452,-1.1269280114638254,0.0013298295454545455,6.652948535407391,0.0
64,1.5,-0.581458125,0.29266010123333336,0.0021621300997569453,-1.6211788958399178,-1.3509437876163224,0.001994602272727273,2.728944863387794,-0.00016000160001600016
64,2.0,-0.462216875,0.19630834244375,0.0012068338180758697,-1.8485112361198905,-1.6265233750364458,-0.0025536931818181817,1.889640674856854,8.000080000800008e-05
64,2.5,-0.37957875,0.13658531889599998,0.0007465073303603807,-2.1124467013998633,-1.927751664869444,0.0024690340909090907,1.4935632850038276,-8.000080000800008e-05
64,3.0,-0.32082875,0.0991267159,0.0005223348863429285,-2.4002702916798357,-2.2431102605562163,-0.0016159090909090908,1.3882913087590034,0.00012000120001200012
64,3.5,-0.2784525,0.07487217433469388,0.0003786012856515049,-2.704467631959808,-2.5669699291282013,-0.0007230113636363636,1.2784617230092619,-0.00012000120001200012
64,4.0,-0.244611875,0.0590062161859375,0.0002903508238921317,-3.017200597239781,-2.8963079367204267,0.0005545454545454546,1.2106408940356057,-8.000080000800008e-05
64,4.5,-0.218404375,0.04711838789012346,0.00023108667041615123,-3.337566687519754,-3.2293707939263765,-0.00039289772727272725,1.2026346860378458,8.000080000800008e-05
64,5.0,-0.197366875,0.038590870630999995,0.00018851228690586818,-3.6631027777997267,-3.5650762619997636,-0.00018238636363636363,1.1930949119266328,0.0
128,1.0,-0.7622296875,0.4236168971875,0.004898761437441216,-1.4553768680599453,-1.1269280110429722,-0.00025610795454545455,6.686009626725076,-0.00012000120001200012
128,1.5,-0.5827971875,0.2928137088833333,0.0021375854581331395,-1.6225179583399179,-1.3509437876163224,-0.0024980113636363637,2.664542144380445,8.000080000800008e-05
128,2.0,-0.4623028125,0.196337693246875,0.0011896182680025515,-1.8485971736198905,-1.6265233750364458,-0.0005078125,1.835565614271995,0.00024000240002400024
128,2.5,-0.3804259375,0.137603252462,0.0007660497555850178,-2.113293888899863,-1.927751664869444,0.0003315340909090909,1.5496008027183614,0.0003200032000320003
